Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,Weekend,VisitorType_New_Visitor,VisitorType_Returning_Visitor
0.0,0.0,0.0,0.0,54.0,2593.1,0.018181818,0.039393939,0.0,0.0,8.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0
3.0,50.0,5.0,248.75,39.0,1034.3125,0.013043478,0.017826087,0.0,0.0,12.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,14.0,1277.741667,0.0,0.035714286,0.0,0.0,11.0,2.0,2.0,5.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,32.0,1493.958333,0.0,0.020967742,0.0,0.0,11.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,2.0,64.0,0.0,0.1,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0
11.0,110.7866667,5.0,89.1,230.0,9050.459482,0.006722689,0.01755845,2.664994971,0.0,6.0,2.0,2.0,6.0,1.0,0.0,0.0,1.0
2.0,15.66666667,0.0,0.0,30.0,1724.25,0.013793103,0.032413793,0.0,0.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,3.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0
2.0,51.0,2.0,99.5,35.0,1475.266667,0.006944444,0.024867725,27.44491667,0.0,5.0,2.0,4.0,2.0,4.0,1.0,0.0,1.0
5.0,316.8,0.0,0.0,26.0,1086.178571,0.014285714,0.017267081,5.981166667,0.0,5.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0
23.0,322.9416667,0.0,0.0,62.0,3142.941176,0.003037975,0.019685462,7.311892217,0.0,11.0,2.0,2.0,1.0,10.0,1.0,0.0,1.0
2.0,15.0,0.0,0.0,44.0,1412.270833,0.004347826,0.015483092,0.0,0.0,12.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,9.0,532.0,0.0,0.066666667,0.0,0.0,10.0,2.0,2.0,3.0,4.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,4.0,27.5,0.1,0.15,0.0,0.0,12.0,3.0,2.0,1.0,13.0,0.0,0.0,1.0
2.0,21.0,1.0,802.5,48.0,2073.916667,0.003921569,0.02627451,0.0,0.0,11.0,2.0,2.0,3.0,2.0,1.0,0.0,1.0
2.0,109.0,0.0,0.0,9.0,652.5,0.0,0.036363636,0.0,0.0,12.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,5.0,73.0,0.12,0.16,0.0,0.0,11.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0
12.0,194.0362319,3.0,61.5,36.0,625.308112,0.011627907,0.032461962,0.0,0.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,4.0,124.0,0.0,0.025,0.0,0.0,5.0,3.0,2.0,1.0,4.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,18.0,426.0666667,0.0,0.033333333,0.0,0.0,7.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,25.0,417.9666667,0.0,0.019230769,4.7095,1.0,5.0,2.0,2.0,9.0,2.0,1.0,0.0,1.0
2.0,63.5,0.0,0.0,104.0,1667.158421,0.0,0.002547045,0.0,0.0,7.0,2.0,4.0,2.0,1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,50.0,1115.459524,0.007843137,0.015686275,0.0,0.0,5.0,3.0,2.0,6.0,4.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,43.0,3747.833333,0.020930233,0.051162791,0.0,0.0,7.0,2.0,2.0,3.0,13.0,0.0,0.0,1.0
1.0,30.5,0.0,0.0,16.0,374.5,0.029411765,0.03627451,0.0,0.0,11.0,3.0,2.0,3.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,4.0,44.0,0.0,0.05,0.0,0.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,10.0,262.6666667,0.02,0.08,0.0,0.0,5.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0
6.0,111.0,0.0,0.0,13.0,522.0,0.0,0.011111111,36.65444444,0.0,5.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0
3.0,72.5,2.0,523.75,8.0,178.75,0.023076923,0.069230769,0.0,0.0,11.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0
12.0,257.75,0.0,0.0,3.0,97.5,0.0,0.038461538,0.0,0.0,12.0,3.0,2.0,4.0,8.0,0.0,0.0,1.0
0.0,0.0,1.0,24.5,46.0,1031.133333,0.004680851,0.034267293,0.0,0.0,11.0,2.0,2.0,3.0,2.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,4.0,31.0,0.0,0.05,0.0,0.0,3.0,2.0,2.0,2.0,10.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,7.0,723.0,0.0,0.028571429,32.90611766,0.0,12.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0
4.0,52.5,0.0,0.0,12.0,234.4,0.0,0.013333333,0.0,0.0,10.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0
2.0,37.5,0.0,0.0,12.0,375.0,0.0,0.039583333,43.99,0.0,5.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0
10.0,579.1333333,0.0,0.0,22.0,539.8357143,0.0,0.004761905,25.5330039,0.0,10.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,31.0,1087.0,0.0,0.006666667,0.0,0.0,5.0,4.0,2.0,2.0,2.0,0.0,0.0,1.0
0.0,0.0,3.0,45.5,117.0,3228.502137,0.005932203,0.018995891,0.0,0.0,11.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0
1.0,3.0,0.0,0.0,40.0,624.75,0.0,0.014634146,0.0,0.0,3.0,3.0,7.0,3.0,3.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,2.0,27.0,0.15,0.15,0.0,0.0,2.0,1.0,1.0,7.0,2.0,0.0,0.0,1.0
4.0,255.5,0.0,0.0,14.0,770.5,0.0,0.002666667,0.0,0.0,11.0,3.0,2.0,7.0,8.0,1.0,0.0,1.0
8.0,310.0666667,1.0,49.4,71.0,1441.974535,0.003013699,0.009218133,48.30461627,0.0,10.0,1.0,1.0,2.0,20.0,1.0,0.0,1.0
3.0,67.2,0.0,0.0,46.0,987.1190476,0.004081633,0.012244898,22.25592956,0.0,9.0,2.0,2.0,8.0,4.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,34.0,1070.098072,0.018627451,0.027103099,0.0,0.0,7.0,3.0,2.0,7.0,1.0,0.0,0.0,1.0
0.0,0.0,1.0,97.0,143.0,8060.963948,0.002923977,0.020798504,0.0,0.0,11.0,2.0,2.0,7.0,2.0,0.0,0.0,1.0
2.0,15.2,0.0,0.0,22.0,244.2,0.027272727,0.063636364,0.0,0.0,8.0,2.0,2.0,7.0,1.0,1.0,0.0,1.0
5.0,83.16666667,0.0,0.0,18.0,585.5666667,0.010526316,0.052631579,0.0,0.0,7.0,2.0,2.0,2.0,13.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,3.0,46.75,0.0,0.066666667,0.0,0.0,11.0,2.0,2.0,3.0,10.0,0.0,0.0,1.0
1.0,5.0,0.0,0.0,12.0,306.0,0.0,0.02,0.0,0.0,3.0,2.0,2.0,6.0,8.0,0.0,0.0,1.0
7.0,160.3333333,0.0,0.0,31.0,590.5166667,0.005208333,0.009657738,0.0,0.0,5.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0
6.0,152.0,0.0,0.0,17.0,450.75,0.028571429,0.052380952,14.10739957,0.0,11.0,1.0,8.0,3.0,11.0,0.0,0.0,1.0
4.0,33.0,0.0,0.0,19.0,502.4583333,0.0,0.011904762,0.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0
1.0,397.5,3.0,89.5,8.0,249.0,0.066666667,0.091666667,0.0,0.0,5.0,3.0,2.0,1.0,6.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,13.0,737.1666667,0.038461538,0.084615385,0.0,0.0,11.0,3.0,2.0,3.0,13.0,0.0,0.0,1.0
3.0,173.9444444,0.0,0.0,14.0,890.5277778,0.0,0.028571429,52.74177636,0.0,12.0,4.0,5.0,5.0,10.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,7.0,67.0,0.0,0.028571429,0.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,5.0,239.0,0.0,0.04,0.0,0.0,3.0,2.0,2.0,9.0,1.0,0.0,0.0,1.0
2.0,28.2,0.0,0.0,16.0,312.2,0.033333333,0.048148148,0.0,0.0,10.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,22.0,428.45,0.004545455,0.012878788,20.88818182,1.0,5.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0
9.0,335.1666667,5.0,219.0,107.0,6235.06603,0.005309735,0.016223404,0.0,0.0,11.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0
1.0,9.0,0.0,0.0,15.0,266.0,0.028571429,0.057142857,0.0,0.8,5.0,4.0,2.0,1.0,13.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,4.0,47.5,0.0,0.05,0.0,0.0,11.0,2.0,5.0,1.0,2.0,0.0,0.0,1.0
16.0,284.85,0.0,0.0,276.0,4758.380638,0.001034483,0.007306262,27.43209507,0.0,5.0,4.0,1.0,3.0,1.0,1.0,0.0,1.0
4.0,33.0,0.0,0.0,35.0,702.9166667,0.0,0.005428571,0.0,0.0,12.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0
7.0,286.8333333,0.0,0.0,49.0,1493.695238,0.005390836,0.015750591,0.0,0.0,12.0,3.0,2.0,3.0,10.0,1.0,0.0,1.0
4.0,139.0,1.0,146.0,26.0,1740.45,0.016666667,0.03,0.0,0.0,5.0,1.0,1.0,6.0,2.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,27.0,1165.95,0.025925926,0.044444444,0.0,0.0,12.0,2.0,5.0,3.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,15.0,1733.666667,0.0,0.026666667,0.0,0.0,3.0,2.0,2.0,7.0,2.0,0.0,0.0,1.0
8.0,247.0833333,0.0,0.0,163.0,4600.540873,0.008383234,0.021052657,5.28608849,0.0,11.0,2.0,4.0,3.0,2.0,0.0,0.0,1.0
14.0,295.2,3.0,56.9,80.0,1242.063095,0.004545455,0.020707071,0.0,0.0,10.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,57.0,2716.666667,0.0,0.005263158,0.0,0.0,11.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0
1.0,5.5,6.0,387.5,25.0,621.2,0.0,0.009333333,0.0,0.0,7.0,3.0,2.0,1.0,4.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,3.0,33.2,0.0,0.066666667,0.0,0.0,6.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.1,0.0,0.0,3.0,3.0,2.0,3.0,9.0,1.0,0.0,1.0
15.0,241.8541667,1.0,27.5,202.0,10014.26935,0.004038462,0.021947073,1.606825723,0.0,11.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,5.0,3.0,2.0,3.0,13.0,0.0,0.0,1.0
9.0,395.8785714,0.0,0.0,124.0,3959.145344,0.004871324,0.014283416,3.464444066,0.0,11.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0
11.0,79.75,0.0,0.0,31.0,419.25,0.006818182,0.026893939,0.0,0.8,5.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0
2.0,5.0,0.0,0.0,3.0,20.0,0.053333333,0.078333333,0.0,0.8,5.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0
1.0,73.75,0.0,0.0,45.0,2674.339216,0.000869565,0.020139353,0.0,0.0,11.0,1.0,1.0,8.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,25.0,1690.977778,0.008,0.037333333,0.0,0.0,3.0,1.0,1.0,8.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,24.0,778.1666667,0.0,0.0125,0.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,40.0,2426.266667,0.004878049,0.02296748,0.0,0.0,11.0,2.0,2.0,2.0,11.0,0.0,0.0,1.0
2.0,20.0,0.0,0.0,16.0,214.8333333,0.0,0.022222222,0.0,0.0,2.0,2.0,2.0,1.0,6.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.066666667,0.0,0.0,3.0,2.0,2.0,6.0,1.0,0.0,0.0,1.0
6.0,60.875,0.0,0.0,57.0,3671.675,0.003278689,0.027595628,0.0,0.0,11.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,101.0,2611.747653,0.004356436,0.029287373,0.0,0.0,10.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,16.0,2156.0,0.01875,0.035416667,0.0,0.0,3.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0
2.0,141.6,0.0,0.0,10.0,728.18,0.018181818,0.065367965,14.28629744,0.0,9.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0
2.0,174.6,0.0,0.0,12.0,251.2,0.061904762,0.080612245,0.0,0.0,8.0,3.0,2.0,6.0,1.0,0.0,0.0,1.0
1.0,197.4,0.0,0.0,83.0,1631.4,0.027380952,0.068650794,0.0,0.0,10.0,2.0,2.0,3.0,13.0,0.0,0.0,1.0
0.0,0.0,1.0,28.0,19.0,1120.266667,0.021052632,0.052631579,11.38642105,0.0,5.0,4.0,1.0,6.0,4.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,6.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,46.0,2158.5,0.019565217,0.032246377,0.0,0.0,11.0,1.0,2.0,7.0,2.0,0.0,0.0,1.0
2.0,2.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,5.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0
7.0,87.25,4.0,199.5,87.0,4984.542857,0.00326087,0.02113009,0.0,0.0,11.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,18.0,909.75,0.022222222,0.048148148,0.0,0.0,11.0,3.0,2.0,1.0,3.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0
13.0,344.4922161,5.0,271.25,182.0,5402.78526,0.000968661,0.006829256,16.27511574,0.0,12.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0
1.0,56.4,1.0,14.2,24.0,1183.826667,0.0,0.005128205,0.0,0.0,7.0,2.0,2.0,8.0,2.0,1.0,1.0,0.0
4.0,15.0,1.0,17.0,17.0,490.0,0.0,0.027272727,15.66445171,0.0,3.0,2.0,2.0,4.0,10.0,0.0,0.0,1.0
3.0,78.5,0.0,0.0,10.0,673.0,0.015384615,0.01025641,0.0,0.6,5.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0
8.0,398.7,0.0,0.0,50.0,1483.366667,0.0,0.01047619,19.78135119,0.4,5.0,2.0,2.0,2.0,4.0,0.0,0.0,1.0
13.0,913.5222222,3.0,141.88,29.0,1293.652222,0.002631579,0.020570175,1.483746347,0.0,8.0,2.0,2.0,4.0,2.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,38.0,2232.833333,0.0,0.026315789,0.0,0.0,11.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0
7.0,398.0,0.0,0.0,27.0,770.3133333,0.006060606,0.03030303,10.05190252,0.0,10.0,1.0,8.0,3.0,3.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,48.5,0.0,0.1,0.0,0.0,11.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,3.0,2.0,2.0,6.0,1.0,0.0,0.0,1.0
7.0,280.0,0.0,0.0,21.0,612.75,0.0,0.008695652,43.81043478,0.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,8.0,211.0,0.0,0.028571429,0.0,0.0,5.0,2.0,2.0,7.0,2.0,0.0,1.0,0.0
2.0,21.2,0.0,0.0,7.0,897.8,0.0,0.055555556,0.0,0.0,8.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0
5.0,216.25,2.0,107.0,39.0,1056.511364,0.02,0.031666667,0.0,0.0,12.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,3.0,90.0,0.0,0.066666667,0.0,0.0,3.0,1.0,2.0,5.0,10.0,0.0,0.0,1.0
3.0,53.4,0.0,0.0,21.0,216.7,0.0,0.008695652,0.0,0.0,9.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0
9.0,118.0,2.0,10.0,16.0,401.95,0.004761905,0.013015873,0.0,0.0,5.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,10.0,244.6666667,0.005,0.065,0.0,0.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,5.0,51.25,0.0,0.02,0.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0
6.0,312.0,1.0,11.0,92.0,2710.570238,0.016842105,0.026417863,0.0,0.6,5.0,2.0,2.0,4.0,3.0,0.0,0.0,1.0
1.0,8.0,5.0,358.75,36.0,991.5,0.014285714,0.031904762,0.0,0.0,12.0,1.0,1.0,8.0,2.0,0.0,0.0,1.0
1.0,2.0,0.0,0.0,5.0,86.6,0.0,0.1,0.0,0.0,9.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0
5.0,42.18181818,0.0,0.0,12.0,231.1818182,0.0,0.01,0.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0
10.0,511.5,4.0,164.0,73.0,2490.138095,0.0,0.010365854,30.09281343,0.0,3.0,2.0,2.0,7.0,2.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,7.0,223.0,0.0,0.028571429,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
0.0,0.0,1.0,19.0,10.0,852.0,0.0,0.009090909,0.0,0.0,2.0,2.0,2.0,3.0,6.0,0.0,0.0,1.0
7.0,140.5733333,1.0,108.8,43.0,1912.751905,0.008333333,0.007777778,19.64189593,0.0,11.0,3.0,2.0,6.0,5.0,0.0,0.0,1.0
6.0,253.75,3.0,33.0,19.0,569.5138889,0.023076923,0.03034188,0.0,0.2,5.0,3.0,2.0,2.0,3.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,42.0,562.6666667,0.009340659,0.032583774,0.0,0.0,5.0,2.0,2.0,4.0,13.0,0.0,0.0,1.0
4.0,45.33333333,0.0,0.0,53.0,1440.298918,0.012727273,0.021974359,1.660118182,0.0,3.0,3.0,2.0,7.0,3.0,1.0,0.0,1.0
3.0,31.2,0.0,0.0,4.0,36.2,0.028571429,0.057142857,0.0,0.0,6.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0
1.0,4.0,0.0,0.0,18.0,631.6666667,0.0,0.027777778,56.32466667,0.0,5.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0
0.0,0.0,2.0,193.25,106.0,5633.538274,0.008878505,0.017232253,0.0,1.0,5.0,3.0,2.0,8.0,2.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,22.0,821.8933333,0.001515152,0.042424242,0.0,0.0,7.0,2.0,4.0,6.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,17.0,1040.1,0.0,0.013333333,128.8278691,0.0,12.0,2.0,2.0,5.0,2.0,0.0,1.0,0.0
4.0,31.0,4.0,106.0,27.0,825.1401515,0.006896552,0.025517241,0.0,0.0,11.0,2.0,2.0,3.0,2.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,3.0,2.0,2.0,4.0,3.0,0.0,0.0,1.0
3.0,80.6,0.0,0.0,37.0,936.4166667,0.0,0.005128205,0.0,0.0,7.0,1.0,1.0,4.0,2.0,1.0,0.0,1.0
3.0,53.5,1.0,18.0,42.0,2553.858333,0.0,0.022101449,0.0,0.0,11.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,4.0,184.3333333,0.1,0.0875,0.0,0.0,12.0,3.0,2.0,3.0,2.0,0.0,0.0,1.0
9.0,185.75,0.0,0.0,40.0,2128.416667,0.004761905,0.019047619,0.0,0.0,11.0,2.0,2.0,3.0,3.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,3.0,12.0,0.066666667,0.133333333,0.0,0.0,5.0,2.0,4.0,3.0,6.0,0.0,0.0,1.0
6.0,92.0,3.0,101.0,76.0,5186.116667,0.004878049,0.024837398,6.548011382,0.0,3.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0
3.0,56.0,0.0,0.0,61.0,1669.988095,0.008064516,0.025778523,0.0,0.0,11.0,1.0,1.0,7.0,2.0,0.0,0.0,1.0
0.0,0.0,1.0,117.0,8.0,404.0,0.025,0.0375,0.0,0.0,12.0,2.0,2.0,8.0,2.0,0.0,0.0,1.0
4.0,28.5,0.0,0.0,20.0,500.5,0.0,0.029824561,0.0,0.0,11.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0
4.0,133.8,0.0,0.0,10.0,299.5,0.072222222,0.063095238,0.0,0.0,7.0,1.0,8.0,7.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,30.0,953.6666667,0.026666667,0.071111111,0.0,0.0,12.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0
3.0,50.06666667,0.0,0.0,159.0,2184.484938,0.001851852,0.005588342,0.0,0.0,10.0,2.0,2.0,4.0,4.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,29.0,1237.0,0.033333333,0.039761905,0.0,0.0,11.0,3.0,2.0,1.0,13.0,0.0,0.0,1.0
4.0,146.0,0.0,0.0,14.0,879.5,0.0,0.0125,0.0,0.0,12.0,2.0,5.0,4.0,2.0,1.0,1.0,0.0
